"additionalInfoDescription1","additionalInfoDescription2","additionalInfoDescription3","additionalInfoDescription4","additionalInfoDescription5","additionalInfoDescription6","additionalInfoTitle1","additionalInfoTitle2","additionalInfoTitle3","additionalInfoTitle4","additionalInfoTitle5","additionalInfoTitle6","collections","customTextCharLimit1","customTextCharLimit2","customTextField1","customTextField2","customTextMandatory1","customTextMandatory2","description","discountMode","discountValue","fieldType","handleIds","inventory","name","price","productImageUrl","productOptionDescription1","productOptionDescription2","productOptionDescription3","productOptionDescription4","productOptionDescription5","productOptionDescription6","productOptionName1","productOptionName2","productOptionName3","productOptionName4","productOptionName5","productOptionName6","productOptionType1","productOptionType2","productOptionType3","productOptionType4","productOptionType5","productOptionType6","ribbon","sku","surcharge","visible","weight"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d2","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d3","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d4","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d5","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d6","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d7","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d8","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8120","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8121","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8122","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8123","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8124","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8125","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_87caa1d5-8d15-b643-7cff-2f0b968ff8126","InStock","Cinderella","10.0","a680d7_77127d99594a4977bc8ea36387d74d5c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
